
Info: /OSCI/SystemC: Simulation stopped by user.
sc_stop is encountered
size_pct 10
Latencia pos[0][0]: 25
Latencia pos[0][1]: 40
Latencia pos[0][2]: 54
Latencia pos[0][3]: 67
Latencia pos[0][4]: 80
Latencia pos[0][5]: 94
Latencia pos[0][6]: 108
Latencia pos[0][7]: 122
Latencia pos[0][8]: 136
Latencia pos[0][9]: 148
Latencia pos[0][10]: 164
Latencia pos[0][11]: 176
Latencia pos[0][12]: 190
Latencia pos[0][13]: 204
Latencia pos[0][14]: 214
Latencia pos[0][15]: 221
Latencia pos[0][16]: 231
Latencia pos[0][17]: 239
Latencia pos[0][18]: 247
Latencia pos[0][19]: 257
Latencia pos[0][20]: 261
Latencia pos[0][21]: 265
Latencia pos[0][22]: 271
Latencia pos[0][23]: 276
Latencia pos[0][24]: 281
Latencia pos[0][25]: 285
Latencia pos[0][26]: 289
Latencia pos[0][27]: 290
Latencia pos[0][28]: 293
Latencia pos[0][29]: 294
Latencia pos[0][30]: 296
Latencia pos[0][31]: 296
Latencia pos[0][32]: 298
Latencia pos[0][33]: 299
Latencia pos[0][34]: 301
Latencia pos[0][35]: 299
Latencia pos[0][36]: 298
Latencia pos[0][37]: 296
Latencia pos[0][38]: 295
Latencia pos[0][39]: 293
Latencia pos[0][40]: 292
Latencia pos[0][41]: 291
Latencia pos[0][42]: 289
Latencia pos[0][43]: 287
Latencia pos[0][44]: 283
Latencia pos[0][45]: 279
Latencia pos[0][46]: 276
Latencia pos[0][47]: 272
Latencia pos[0][48]: 267
Latencia pos[0][49]: 263

Latencia pos[1][0]: 9
Latencia pos[1][1]: 9
Latencia pos[1][2]: 9
Latencia pos[1][3]: 9
Latencia pos[1][4]: 9
Latencia pos[1][5]: 9
Latencia pos[1][6]: 9
Latencia pos[1][7]: 9
Latencia pos[1][8]: 9
Latencia pos[1][9]: 9
Latencia pos[1][10]: 9
Latencia pos[1][11]: 9
Latencia pos[1][12]: 9
Latencia pos[1][13]: 9
Latencia pos[1][14]: 9
Latencia pos[1][15]: 9
Latencia pos[1][16]: 9
Latencia pos[1][17]: 9
Latencia pos[1][18]: 9
Latencia pos[1][19]: 9
Latencia pos[1][20]: 9
Latencia pos[1][21]: 9
Latencia pos[1][22]: 9
Latencia pos[1][23]: 9
Latencia pos[1][24]: 9
Latencia pos[1][25]: 9
Latencia pos[1][26]: 9
Latencia pos[1][27]: 9
Latencia pos[1][28]: 9
Latencia pos[1][29]: 9
Latencia pos[1][30]: 9
Latencia pos[1][31]: 9
Latencia pos[1][32]: 9
Latencia pos[1][33]: 9
Latencia pos[1][34]: 9
Latencia pos[1][35]: 9
Latencia pos[1][36]: 9
Latencia pos[1][37]: 9
Latencia pos[1][38]: 9
Latencia pos[1][39]: 9
Latencia pos[1][40]: 9
Latencia pos[1][41]: 9
Latencia pos[1][42]: 9
Latencia pos[1][43]: 9
Latencia pos[1][44]: 9
Latencia pos[1][45]: 9
Latencia pos[1][46]: 9
